Success 1: checkpoint_epoch_1_20250320_171718: Pat 6, 40 Epochs, .0001 LR, 32 Batch Size, 4 Layers, .3 Dropout, 16-128 Conv, 2 Linear 128-256, Fold 1:

Epoch [3/50], Train Loss: 0.8538, Train Acc: 58.20%, Val Loss: 0.8101, Val Acc: 60.74%
Epoch [4/50], Train Loss: 0.7557, Train Acc: 64.35%, Val Loss: 0.6785, Val Acc: 69.31%
Epoch [5/50], Train Loss: 0.6904, Train Acc: 68.32%, Val Loss: 0.7646, Val Acc: 65.90%
Epoch [6/50], Train Loss: 0.5883, Train Acc: 74.30%, Val Loss: 0.6028, Val Acc: 72.36%
Epoch [7/50], Train Loss: 0.5548, Train Acc: 76.60%, Val Loss: 0.5407, Val Acc: 76.27%
Epoch [8/50], Train Loss: 0.5200, Train Acc: 78.07%, Val Loss: 0.5344, Val Acc: 77.31%
Epoch [9/50], Train Loss: 0.4957, Train Acc: 78.81%, Val Loss: 0.4782, Val Acc: 79.92%
Epoch [10/50], Train Loss: 0.4645, Train Acc: 80.54%, Val Loss: 0.4579, Val Acc: 82.10%
Epoch [11/50], Train Loss: 0.4332, Train Acc: 82.23%, Val Loss: 0.3983, Val Acc: 83.73%
Epoch [12/50], Train Loss: 0.4196, Train Acc: 82.79%, Val Loss: 0.3946, Val Acc: 84.27%
Epoch [13/50], Train Loss: 0.3994, Train Acc: 83.93%, Val Loss: 0.3935, Val Acc: 83.94%
Epoch [14/50], Train Loss: 0.3917, Train Acc: 84.19%, Val Loss: 0.3890, Val Acc: 83.87%
Epoch [15/50], Train Loss: 0.3959, Train Acc: 84.03%, Val Loss: 0.3511, Val Acc: 85.21%
Epoch [16/50], Train Loss: 0.3802, Train Acc: 84.93%, Val Loss: 0.3346, Val Acc: 86.41%
Epoch [17/50], Train Loss: 0.3663, Train Acc: 85.87%, Val Loss: 0.3739, Val Acc: 85.74%
Epoch [18/50], Train Loss: 0.3560, Train Acc: 85.62%, Val Loss: 0.3414, Val Acc: 86.61%
Epoch [19/50], Train Loss: 0.3616, Train Acc: 85.43%, Val Loss: 0.3361, Val Acc: 86.45%
Epoch [20/50], Train Loss: 0.3537, Train Acc: 85.99%, Val Loss: 0.3290, Val Acc: 87.38%
Epoch [21/50], Train Loss: 0.3460, Train Acc: 85.95%, Val Loss: 0.3258, Val Acc: 86.65%
Epoch [22/50], Train Loss: 0.3405, Train Acc: 86.60%, Val Loss: 0.3045, Val Acc: 87.85%
